MES_REFERENCIA;SUBMERCADO;PERIODO_COMERCIALIZACAO;DIA;HORA;PLD_HORA
202607;NORDESTE;337;15;0;152.32
202607;NORTE;337;15;0;152.33
202607;SUDESTE;337;15;0;152.33
202607;SUL;337;15;0;152.32
202607;NORDESTE;338;15;1;74.11
202607;NORTE;338;15;1;74.12
202607;SUDESTE;338;15;1;74.11
202607;SUL;338;15;1;74.1
202607;NORDESTE;339;15;2;57.31
202607;NORTE;339;15;2;57.31
202607;SUDESTE;339;15;2;57.31
202607;SUL;339;15;2;57.31
202607;NORDESTE;340;15;3;57.31
202607;NORTE;340;15;3;57.31
202607;SUDESTE;340;15;3;57.31
202607;SUL;340;15;3;57.31
202607;NORDESTE;341;15;4;57.31
202607;NORTE;341;15;4;57.31
202607;SUDESTE;341;15;4;57.31
202607;SUL;341;15;4;57.31
202607;NORDESTE;342;15;5;101.69
202607;NORTE;342;15;5;101.7
202607;SUDESTE;342;15;5;101.7
202607;SUL;342;15;5;101.69
202607;NORDESTE;343;15;6;169.91
202607;NORTE;343;15;6;169.92
202607;SUDESTE;343;15;6;169.92
202607;SUL;343;15;6;169.91
202607;NORDESTE;344;15;7;57.31
202607;NORTE;344;15;7;57.31
202607;SUDESTE;344;15;7;57.31
202607;SUL;344;15;7;57.31
202607;NORDESTE;345;15;8;57.31
202607;NORTE;345;15;8;57.31
202607;SUDESTE;345;15;8;57.31
202607;SUL;345;15;8;57.31
202607;NORDESTE;346;15;9;57.31
202607;NORTE;346;15;9;57.31
202607;SUDESTE;346;15;9;57.31
202607;SUL;346;15;9;57.31
202607;NORDESTE;347;15;10;57.31
202607;NORTE;347;15;10;57.31
202607;SUDESTE;347;15;10;57.31
202607;SUL;347;15;10;57.31
202607;NORDESTE;348;15;11;57.31
202607;NORTE;348;15;11;57.31
202607;SUDESTE;348;15;11;57.31
202607;SUL;348;15;11;57.31
202607;NORDESTE;349;15;12;57.31
202607;NORTE;349;15;12;57.31
202607;SUDESTE;349;15;12;57.31
202607;SUL;349;15;12;57.31
202607;NORDESTE;350;15;13;57.31
202607;NORTE;350;15;13;57.31
202607;SUDESTE;350;15;13;57.31
202607;SUL;350;15;13;57.31
202607;NORDESTE;351;15;14;57.31
202607;NORTE;351;15;14;57.31
202607;SUDESTE;351;15;14;57.31
202607;SUL;351;15;14;57.31
202607;NORDESTE;352;15;15;57.31
202607;NORTE;352;15;15;57.31
202607;SUDESTE;352;15;15;57.31
202607;SUL;352;15;15;57.31
202607;NORDESTE;353;15;16;145.12
202607;NORTE;353;15;16;145.13
202607;SUDESTE;353;15;16;145.12
202607;SUL;353;15;16;145.11
202607;NORDESTE;354;15;17;208.24
202607;NORTE;354;15;17;208.25
202607;SUDESTE;354;15;17;208.25
202607;SUL;354;15;17;208.25
202607;NORDESTE;355;15;18;220.61
202607;NORTE;355;15;18;220.61
202607;SUDESTE;355;15;18;220.61
202607;SUL;355;15;18;220.61
202607;NORDESTE;356;15;19;198.47
202607;NORTE;356;15;19;198.48
202607;SUDESTE;356;15;19;198.48
202607;SUL;356;15;19;198.48
202607;NORDESTE;357;15;20;190.73
202607;NORTE;357;15;20;190.74
202607;SUDESTE;357;15;20;190.74
202607;SUL;357;15;20;190.74
202607;NORDESTE;358;15;21;190.95
202607;NORTE;358;15;21;190.96
202607;SUDESTE;358;15;21;190.96
202607;SUL;358;15;21;190.95
202607;NORDESTE;359;15;22;187.21
202607;NORTE;359;15;22;187.22
202607;SUDESTE;359;15;22;187.22
202607;SUL;359;15;22;187.21
202607;NORDESTE;360;15;23;177.62
202607;NORTE;360;15;23;177.63
202607;SUDESTE;360;15;23;177.62
202607;SUL;360;15;23;177.61
202607;NORDESTE;313;14;0;187.66
202607;NORTE;313;14;0;187.67
202607;SUDESTE;313;14;0;187.66
202607;SUL;313;14;0;187.65
202607;NORDESTE;314;14;1;185.23
202607;NORTE;314;14;1;185.24
